,eventID,account_admin,account_dcadmin,account_user103,process_c:\windows\system32\hostname.exe,process_c:\windows\system32\ipconfig.exe,process_c:\windows\system32\netsh.exe,process_c:\windows\system32\netstat.exe,process_c:\windows\system32\ping.exe,process_c:\windows\system32\services.exe,process_c:\windows\system32\wbem\wmic.exe,process_c:\windows\system32\wbem\wmiprvse.exe,objectname_psexesvc,target_train
4821,4674,0,0,1,1,0,0,0,0,0,0,0,0,1
4822,4674,0,0,1,1,0,0,0,0,0,0,0,0,1
9452,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9453,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9454,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9455,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9456,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9457,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9458,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9459,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9462,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9463,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9464,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9465,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9466,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9467,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9468,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9469,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9470,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9471,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9472,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9473,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9474,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
9475,4674,0,1,0,0,0,0,0,0,0,0,1,0,1
24516,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24517,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24519,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24520,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24522,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24523,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24525,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24526,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24528,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24529,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24531,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24532,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24534,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24535,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24537,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24538,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24540,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24541,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24543,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24544,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24546,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24547,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24549,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24550,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24552,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24553,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24555,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
