,datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharename,securityid
0,"March 26th 2019, 17:09:48.085",5140,user01,10.0.9.251,,,,\*\ipc$,example2\user01
1,"March 26th 2019, 17:09:48.284",4624,dc2016$,10.0.9.251,,,,,s-1-5-18
2,"March 26th 2019, 17:09:49.284",4776,dc2016$,10.0.9.251,,,,,s-1-5-18
3,"March 26th 2019, 17:09:48.284",4624,user01,10.0.9.251,,,,,s-1-5-18
4,"March 26th 2019, 17:09:49.284",4776,user01,,,,,,s-1-5-18
5,"March 26th 2019, 17:09:49.284",4776,user01,,,,,,s-1-5-18
6,"March 26th 2019, 17:09:49.284",4776,user01,,,,,,s-1-5-18
7,"March 26th 2019, 17:09:48.085",5140,user01,10.0.9.251,,,,\*\ipc$,example2\user01
8,"March 26th 2019, 17:09:51.085",5140,user01,10.0.9.251,,,,\*\ipc$,example2\user01
9,"March 26th 2019, 17:09:48.085",5140,user02,10.0.9.251,,,,\*\ipc$,example2\user01
10,"March 26th 2019, 18:09:48.284",4624,user01,10.0.9.251,,,,,s-1-5-18
11,"March 26th 2019, 18:09:48.385",5140,user01,10.0.9.251,,,,\*\ipc$,example2\user01
12,"March 26th 2019, 17:09:48.085",5140,user01,10.0.9.251,,,,\*\ipc$,example2\user01
13,"March 26th 2019, 18:09:48.385",5140,user01,10.0.9.251,,,,\*\ipc$,example2\user01
14,"March 26th 2019, 18:09:49.484",4776,user01,,,,,,s-1-5-18
15,"March 26th 2019, 18:09:48.584",4624,user01,10.0.9.251,,,,,s-1-5-18
16,"March 26th 2019, 19:09:48.385",5140,user01,10.0.9.251,,,,\*\ipc$,example2\user01
17,"March 26th 2019, 19:09:48.584",4624,user01,10.0.9.251,,,,,s-1-5-18
18,"March 26th 2019, 19:09:49.684",4776,user01,,,,,,s-1-5-18
19,"May 10th 2019, 12:26:18.339",4688,system,,,c:\windows\system32\cmd.exe,,,system
20,"May 10th 2019, 12:26:18.339",4688,system,,,c:\windows\system32\cmd.exe,,,system
21,"May 10th 2019, 12:26:18.027",5140,anonymous logon,10.0.9.27,,,,\*\ipc$,anonymous logon
22,"May 10th 2019, 12:26:18.214",5140,dc2012$,10.0.9.27,,,,\*\ipc$,system
23,"May 10th 2019, 12:26:18.339",4688,system,,,c:\windows\system32\cmd.exe,,,system
24,2019-07-02T06:14:45.382Z,5140,kanaopc$,10.0.9.30,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-3179
25,2019-07-02T06:14:17.188Z,5140,dc2016$,fe80::dc78:c1f4:776:9808,,,,\*\sysvol,s-1-5-18
26,2019-07-02T06:14:17.195Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
27,2019-07-02T06:14:17.195Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
28,2019-07-02T06:14:17.195Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
29,2019-07-02T06:14:17.195Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
30,2019-07-02T06:14:18.597Z,5140,filesv$,10.0.19.102,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-3172
31,2019-07-02T06:15:55.517Z,4674,administrator,,,c:\windows\system32\wbem\wmiprvse.exe,\registry\machine\software\microsoft\windows nt\currentversion\perflib,,
32,2019-07-02T06:15:55.517Z,4674,administrator,,,c:\windows\system32\wbem\wmiprvse.exe,-,,
33,2019-07-02T06:15:54.458Z,4688,dc2016$,,,c:\windows\system32\wbem\wmiprvse.exe,,,s-1-5-18
34,2019-07-02T06:15:54.506Z,4674,administrator,,,c:\windows\system32\wbem\wmiprvse.exe,\registry\machine\software\microsoft\windows nt\currentversion\perflib,,
35,2019-07-02T06:15:54.506Z,4674,administrator,,,c:\windows\system32\wbem\wmiprvse.exe,-,,
36,2019-07-02T06:15:56.877Z,4688,dc2016$,,,c:\windows\system32\wbem\wmiprvse.exe,,,s-1-5-18
37,2019-07-02T06:18:35.529Z,5140,dc2016$,fe80::dc78:c1f4:776:9808,,,,\*\sysvol,s-1-5-18
38,2019-07-02T06:19:17.308Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
39,2019-07-02T06:19:17.308Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
40,2019-07-02T06:19:17.301Z,5140,dc2016$,fe80::dc78:c1f4:776:9808,,,,\*\sysvol,s-1-5-18
41,2019-07-02T06:19:17.308Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
42,2019-07-02T06:19:17.308Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
43,2019-07-02T06:22:20.569Z,4688,dc2016$,,,c:\windows\system32\smss.exe,,,s-1-5-18
44,2019-07-02T06:22:22.103Z,4688,dc2016$,,,c:\windows\system32\tstheme.exe,,,s-1-5-18
45,2019-07-02T06:22:20.573Z,4688,dc2016$,,,c:\windows\system32\csrss.exe,,,s-1-5-18
46,2019-07-02T06:22:22.122Z,4688,dc2016$,,,c:\windows\system32\rdpclip.exe,,,s-1-5-20
47,2019-07-02T06:22:20.583Z,4688,dc2016$,,,c:\windows\system32\winlogon.exe,,,s-1-5-18
48,2019-07-02T06:22:22.191Z,4688,dc2016$,,,c:\windows\system32\runtimebroker.exe,,,s-1-5-18
49,2019-07-02T06:22:20.729Z,4688,dc2016$,,,c:\windows\system32\logonui.exe,,,s-1-5-18
50,2019-07-02T06:22:20.729Z,4673,dc2016$,,,c:\windows\system32\lsass.exe,,,
51,2019-07-02T06:22:22.221Z,4688,dc2016$,,,c:\windows\system32\sihost.exe,,,s-1-5-18
52,2019-07-02T06:22:20.784Z,4688,dc2016$,,,c:\windows\system32\dwm.exe,,,s-1-5-18
53,2019-07-02T06:22:20.944Z,4673,dc2016$,,,c:\windows\system32\lsass.exe,,,
54,2019-07-02T06:22:22.224Z,4688,dc2016$,,,c:\windows\system32\svchost.exe,,,s-1-5-18
55,2019-07-02T06:22:20.952Z,4768,dcadmin,::1,,,,,
56,2019-07-02T06:22:20.952Z,4673,dc2016$,,,c:\windows\system32\lsass.exe,,,
57,2019-07-02T06:22:22.250Z,4688,dc2016$,,,c:\windows\system32\taskhostw.exe,,,s-1-5-18
58,2019-07-02T06:22:20.953Z,4769,dcadmin,::1,,,,,
59,2019-07-02T06:22:20.989Z,4673,dc2016$,,,c:\windows\system32\lsass.exe,,,
60,2019-07-02T06:22:20.989Z,4673,dc2016$,,,c:\windows\system32\lsass.exe,,,
61,2019-07-02T06:22:22.257Z,4688,dc2016$,,,c:\windows\system32\xblgamesavetask.exe,,,s-1-5-18
62,2019-07-02T06:22:21.253Z,4688,dc2016$,,,c:\windows\system32\dllhost.exe,,,s-1-5-18
63,2019-07-02T06:22:21.295Z,4673,dc2016$,,,c:\windows\system32\lsass.exe,,,
64,2019-07-02T06:22:22.260Z,4688,dc2016$,,,c:\windows\system32\servermanagerlauncher.exe,,,s-1-5-18
65,2019-07-02T06:22:22.849Z,4688,dcadmin,::1,,c:\windows\system32\unregmp2.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
66,2019-07-02T06:22:22.263Z,4688,dc2016$,,,c:\windows\system32\conhost.exe,,,s-1-5-18
67,2019-07-02T06:22:22.922Z,4688,dcadmin,::1,,c:\windows\system32\ie4uinit.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
68,2019-07-02T06:22:22.286Z,4688,dc2016$,,,c:\windows\system32\taskhostw.exe,,,s-1-5-18
69,2019-07-02T06:22:23.040Z,4688,dcadmin,::1,,c:\windows\system32\ie4uinit.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
70,2019-07-02T06:22:22.292Z,4688,dcadmin,::1,,c:\windows\system32\rdpinput.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
71,2019-07-02T06:22:23.132Z,4688,dcadmin,::1,,c:\windows\system32\rundll32.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
72,2019-07-02T06:22:22.360Z,4688,dc2016$,,,c:\windows\system32\consent.exe,,,s-1-5-18
73,2019-07-02T06:22:22.371Z,4673,dc2016$,,,c:\windows\system32\lsass.exe,,,
74,2019-07-02T06:22:22.413Z,4673,dc2016$,,,c:\windows\system32\lsass.exe,,,
75,2019-07-02T06:22:23.504Z,4688,dc2016$,,,c:\windows\system32\taskhostw.exe,,,s-1-5-18
76,2019-07-02T06:22:22.431Z,4688,dc2016$,,,c:\windows\system32\rdpinput.exe,,,s-1-5-18
77,2019-07-02T06:22:23.516Z,4688,dc2016$,,,c:\windows\system32\dllhost.exe,,,s-1-5-18
78,2019-07-02T06:22:22.445Z,4688,dc2016$,,,c:\windows\system32\userinit.exe,,,s-1-5-18
79,2019-07-02T06:22:23.564Z,4688,dcadmin,::1,,c:\windows\system32\unregmp2.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
80,2019-07-02T06:22:22.453Z,4688,dcadmin,::1,,c:\windows\explorer.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
81,2019-07-02T06:22:23.794Z,4688,dcadmin,::1,,c:\windows\system32\rundll32.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
82,2019-07-02T06:22:22.632Z,4688,dc2016$,,,c:\windows\system32\svchost.exe,,,s-1-5-18
83,2019-07-02T06:22:23.866Z,4688,dcadmin,::1,,c:\windows\system32\rundll32.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
84,2019-07-02T06:22:22.771Z,4688,dc2016$,,,c:\windows\system32\svchost.exe,,,s-1-5-18
85,2019-07-02T06:22:24.017Z,4688,dc2016$,,,c:\windows\system32\rundll32.exe,,,s-1-5-18
86,2019-07-02T06:22:25.384Z,4688,dc2016$,,,c:\windows\system32\dllhost.exe,,,s-1-5-18
87,2019-07-02T06:22:25.924Z,4688,dcadmin,::1,,c:\windows\system32\servermanager.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
88,2019-07-02T06:22:25.929Z,4688,dc2016$,,,c:\windows\system32\consent.exe,,,s-1-5-18
89,2019-07-02T06:22:25.941Z,4673,dc2016$,,,c:\windows\system32\lsass.exe,,,
90,2019-07-02T06:22:25.956Z,4673,dcadmin,::1,,c:\windows\system32\svchost.exe,,,
91,2019-07-02T06:22:25.957Z,4688,dc2016$,,,c:\windows\systemapps\shellexperiencehost_cw5n1h2txyewy\shellexperiencehost.exe,,,s-1-5-18
92,2019-07-02T06:22:26.026Z,4688,dc2016$,,,c:\windows\system32\dllhost.exe,,,s-1-5-18
93,2019-07-02T06:22:26.096Z,4673,dcadmin,::1,,c:\windows\system32\svchost.exe,,,
94,2019-07-02T06:22:26.100Z,4688,dc2016$,,,c:\windows\systemapps\microsoft.windows.cortana_cw5n1h2txyewy\searchui.exe,,,s-1-5-18
95,2019-07-02T06:22:26.157Z,4673,dc2016$,,,c:\windows\system32\lsass.exe,,,
