eventID,account,process,target
4688,dc2016$,c:\windows\system32\svchost.exe,train
4688,dc2016$,c:\windows\system32\speech_onecore\common\speechmodeldownload.exe,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
5140,dc2016$,,train
